complex_id,d_af2,d_of3,d_crystal
1A22_A_B,0.47469953333333337,0.18159268444444446,0.5224381422222222
1A4Y_A_B,-0.46487880000000004,-0.5220020999999999,-0.40640529999999997
1AHW_AB_C,0.16207179999999977,-0.4656463999999999,1.9841983349999999
1AK4_A_D,1.73946372,2.1204140029999996,1.594848525
1AO7_ABC_DE,0.0655985666666667,-0.4942616499999999,-0.485782905
1BD2_ABC_DE,-0.870764045,-1.8315333615,-1.30633223125
1BJ1_HL_VW,-1.2537855,0.45383075000000006,0.8595945999999999
1BP3_A_B,-0.25116673799999994,0.19015817480000008,0.011397556000000053
1BRS_A_D,-1.0490048112,-1.1671471992,-1.2085925539999998
1C1Y_A_B,0.08971512500000006,0.09758184999999986,0.34889295
1C4Z_ABC_D,0.8589316650000001,0.9498509589999999,1.22338031
1CBW_FGH_I,1.978882,1.8964613999999997,0.9806461999999998
1CHO_EFG_I,0.21071227500000012,1.0347673899999998,1.7196383750000002
1DAN_HL_UT,0.9320729242857143,0.75657162,0.7954480478571428
1DQJ_AB_C,-1.2235173419999998,-0.550154886,0.01252126800000013
1DVF_AB_CD,0.4263774980000001,-0.039797602000000154,-0.3999332593999999
1E50_A_B,-0.513156275,-0.5301362525000002,-0.16813902500000008
1EMV_A_B,0.16026951250000007,0.3254141425,-0.010371615000000056
1FC2_C_D,1.51307495,-3.1852824999999996,0.10009429999999986
1FCC_A_C,-0.7483287000000001,0.6398229,-0.3575347
1GC1_G_C,0.3339615133333334,0.49197540999999995,0.9001398133333334
1GCQ_AB_C,0.08711182999999999,0.06751870000000001,0.05314756999999999
1GUA_A_B,-0.46997065000000027,-0.61660895,0.4046101
1H9D_A_B,1.178029975,0.8201445533333335,0.38621178533333334
1IAR_A_B,0.462769525,0.18860604999999997,1.3802432699999998
1JCK_A_B,-2.3672918899999997,-0.93781022,1.25297755
1JRH_LH_I,-2.1031007571428573,-1.6226602657142857,-1.3612804799999998
1JTD_A_B,-1.9820814071428572,-1.25526454,-0.9985633885714285
1JTG_A_B,-0.7689713450000001,-0.777439366,-0.443158434
1K8R_A_B,0.18100327500000002,2.0880578749999996,0.6968581125
1KTZ_A_B,3.1608173999999996,2.1607912000000002,1.0293922000000002
1LFD_A_B,1.11044389,0.669247414,1.09970188
1MI5_ABC_DE,-0.2355055216666668,-0.19368213333333328,-1.2262669016666667
1NMB_N_LH,-2.6435199000000003,-2.22812312,-3.00207934
1OGA_ABC_DE,-0.4772507060000001,-1.0161006179999998,-0.015073840000000071
1PPF_E_I,-0.22787570999999995,-0.113513186,-0.11785366
1R0R_E_I,-1.835554757,-1.7545749750000001,-2.0848475349999998
1REW_AB_C,-1.9488331700000001,1.0284734,-0.3866480000000001
1S1Q_A_B,-0.5103650000000002,-0.8344583000000001,-1.4180885
1SMF_E_I,-0.60855399,-0.7460869840000001,-0.75565037
1TM1_E_I,-1.8818627266666665,-1.649344153333333,-1.3326190599999999
1VFB_AB_C,-2.1633588715,-0.5369213875000001,-0.08802432500000007
1XGQ_AB_C,-0.2934893999999999,-4.1968982,-2.7910296999999997
1XGR_AB_C,0.4026953000000002,-1.4291010999999998,-1.3547205999999998
1XGT_AB_C,-1.6307168,-2.2139266,-1.6076493999999997
1XGU_AB_C,-1.2661031,-3.1948423999999997,-2.1263306
1Z7X_W_X,-1.6980722714285714,-1.6109062242857142,-1.4375120057142858
2A9K_A_B,0.40496430000000005,0.5527878999999998,0.70442914
2AK4_ABC_DE,0.07668332333333328,-0.4633092366666667,0.3044240383333336
2AW2_A_B,0.8330167850000001,1.715017615,0.2948632300000002
2B42_A_B,-3.49940543,-0.7619959999999999,-3.877613806
2BNR_ABC_DE,0.4987407999999999,-0.7060377000000001,0.052997300000000025
2BTF_A_P,-0.4104082,-0.5265067000000001,-0.016186100000000092
2FTL_E_I,-0.36873070333333335,-0.08472302666666676,-0.29371857333333334
2G2U_A_B,0.30109532000000017,-0.4646342,0.3418335650000001
2GOX_A_B,-0.21534300000000006,-0.4568493,-0.704239
2J0T_A_D,0.33492250000000023,0.4767210500000001,1.1911013499999998
2NYY_DC_A,-0.16037288,-0.6006963080000001,0.04791782000000004
2NZ9_DC_A,0.27655371166666676,-0.18318706999999992,0.5575083600000003
2PCC_A_B,1.0010139800000002,0.5731414000000001,1.36719137
2WPT_A_B,1.2951395075,1.49879047375,1.2180811325
3AAA_AB_C,-0.25354096666666665,-1.2524957,0.7795415
3B4V_AB_C,0.6058696699999998,-0.05046825999999993,0.3861936700000001
3BK3_A_C,-0.17372389,-0.1042063,-0.13946132
3BN9_B_CD,0.19370355200000006,0.412613964,0.39532133519999996
3BT1_A_U,0.4726910216666667,-0.6425278183333333,0.04934328499999994
3BX1_A_C,-1.11512334,-1.37816439,-0.28693312
3C60_CD_AB,-0.7492050066666668,-0.7818954666666666,1.2184307533333334
3D3V_ABC_DE,-2.1268410066666665,0.5333488666666667,0.9450165333333335
3EQS_A_B,0.16673553499999996,0.3748612800000001,0.40465328999999994
3EQY_A_C,-0.51349163,-0.5864408000000001,-0.14998847000000004
3F1S_A_B,-0.30039315749999995,-0.20582604999999993,-0.7170944275000001
3HFM_HL_Y,-1.0369411475,-0.7675690966666666,-0.9105547766666667
3HH2_AB_C,-1.3775576,1.00503805,0.823600165
3KBH_A_E,0.7931148,0.7357375500000002,2.326323365
3KUD_A_B,0.8367677999999998,1.3604659000000001,0.5611158
3LB6_A_C,2.0307198,2.4670932,1.9244153400000001
3M62_A_B,-0.09538983666666678,0.37406172199999993,0.42066959666666665
3M63_A_B,-0.4151663513333333,-0.28273687999999997,-1.1854020950000002
3MZG_A_B,-0.8952556200000001,-0.8795063999999999,-0.5419073000000001
3NGB_HL_G,-0.35190242555555545,-0.5582628599999998,-0.2279661694444446
3NPS_A_BC,0.8730089999999997,-2.0157707,0.11396150000000005
3Q8D_A_E,-2.54432335,-3.32141207,-3.1647294
3QHY_A_B,-0.7215404024999998,-0.1887322887499999,-0.72134868375
3QIB_ABP_CD,-1.7579239999999998,-0.6197156632,0.49205980799999993
3S9D_A_B,-0.14359879333333334,-0.04768012333333327,-0.2753971333333332
3SE3_B_A,-1.4352873000000002,-0.7633652849999999,-1.202825315
3SE4_B_C,0.576078468,1.094156796,0.9027262479999999
3SE8_HL_G,-1.1150233133333334,0.17521845000000003,0.1549407700000002
3SE9_HL_G,-0.1714423000000007,2.3314606999999996,-1.823299
3SF4_A_D,-1.2545157599999999,-1.02483646,-1.77733403
3SGB_E_I,0.26669874,0.04184555000000001,0.5047880199999999
3SZK_AB_C,-0.5911817433333334,0.13050223666666674,-0.14928493333333348
3U82_A_B,-0.8127062000000002,-0.6054785999999999,-0.86480143
